Start date,End date,Duration [d],Mean catchment precipitation depth - IMERG [mm],Mean catchment precipitation depth - ERA5 [mm],Centre of mass coordinate - IMERG [°N/°E],Centre of mass coordinate - ERA5 [°N/°E],Maximum precipitation coordinate - IMERG [°N/°E],Maximum precipitation coordinate - ERA5 [°N/°E]
20191021_00,20191023_00,2,4.2,2.4,32.35/-2.75,32.5/-3,32.95/-2.95,32.5/-4
20191217_00,20191218_00,1,1.8,1.1,32.45/-2.45,32.5/-2.5,32.85/-3.25,32.5/-4
20200313_00,20200314_00,1,0.6,0.1,32.55/-3.55,32.5/-4,32.45/-4.25,32.5/-4
20200315_00,20200316_00,1,1.2,0.1,32.15/-2.55,32/-3.5,32.45/-3.85,32.5/-4
20200319_00,20200321_00,2,10.9,4,31.85/-2.95,32/-2.5,31.95/-3.45,32.5/-3
20200324_00,20200325_00,1,5,0.9,32.05/-2.25,32/-2,32.25/-2.65,32.5/-4
20200328_00,20200329_00,1,3.1,1.1,31.55/-2.75,32/-2.5,31.65/-3.45,32.5/-4
20200418_00,20200420_00,2,9.9,19.6,31.05/-1.85,31/-1.5,32.55/-3.55,30.5/-0.5
20201022_00,20201023_00,1,2.3,0.5,32.15/-3.25,32.5/-3.5,32.15/-4.05,32.5/-4
20201110_00,20201111_00,1,2.8,1.3,31.85/-1.65,32/-2,31.95/-1.85,32.5/-1
20201127_00,20201128_00,1,2.3,5.1,32.05/-1.55,32/-2,33.05/-0.35,32.5/-2
20201217_00,20201218_00,1,5.8,2.5,31.75/-2.85,31.5/-3,31.15/-3.25,32.5/-4
20210306_00,20210307_00,1,3.5,1.3,32.15/-2.15,32/-3,32.45/-2.35,32.5/-3
20210310_00,20210311_00,1,4.2,2.1,30.65/-1.55,30.5/-1.5,30.65/-0.85,30.5/-1.5
20210318_00,20210319_00,1,3,1.2,32.45/-2.55,32/-3,32.95/-2.05,32.5/-4
20210320_00,20210321_00,1,6.4,4.6,31.05/-2.05,31.5/-2.5,31.45/-2.55,31.5/-3
20210321_00,20210322_00,1,2.4,3.9,31.15/-1.75,31.5/-1.5,30.75/-1.85,30.5/-0.5
